action_type,opportunity_score,lead_priority,lead_route,primary_kpi,expected_lead_acquisition_channel,priority,channel,target,status,contact_url,landing_url,utm_url,anchor_or_listing_phrase,evidence_needed,subject,message_or_query,next_step,tracker_command,notes
submit_or_contact,88,P0 POS-ready Chinese restaurant lead source,Route Clover restaurant owners to a POS-specific demo; keep no-POS owners as POS partner referral prospects.,"partner reply, referral path, or sent-message evidence",partner_referral,P1,POS-specific outreach,Clover restaurant consultants,not_started,https://limelightpayments.com/contact-us/,https://serviio.ai/pos/clover-ai-phone-ordering/,https://serviio.ai/pos/clover-ai-phone-ordering/?utm_source=clover_pos_consultant&utm_medium=partner_referral&utm_campaign=free_search_marketing,Clover POS phone order AI,"Partner reply, referral-page URL, submitted form confirmation, or sent-message URL.",AI phone ordering add-on for Clover restaurants,"Hi [Name],

Serviio helps restaurants answer phone calls with AI, capture structured takeout order details, and evaluate how confirmed orders can move into the restaurant POS or kitchen workflow.

We are especially focused on Chinese restaurants and takeout-heavy operators already using Clover. These restaurants often still receive high phone volume during lunch and dinner rush, even when online ordering is available.

Would you be open to a short partner/referral conversation? We can route POS-ready restaurants to an AI phone-ordering demo, and no-POS restaurants can be qualified separately for POS recommendations before they are a fit for Serviio.

Relevant page:
https://serviio.ai/pos/clover-ai-phone-ordering/?utm_source=clover_pos_consultant&utm_medium=partner_referral&utm_campaign=free_search_marketing

Thanks,
Serviio","Use POS-Specific Partner Outreach Copy and swap in the POS name plus the tracker UTM URL. After action, mark submitted with confirmation details.","npm run marketing:mark -- --target ""Clover restaurant consultants"" --status ""submitted"" --date 2026-06-20 --note ""Submitted/contacted; add confirmation or next follow-up detail.""",Verified Clover setup/support contact path; use for restaurants with Clover and missed phone orders.
submit_or_contact,88,P0 POS-ready Chinese restaurant lead source,Route Square restaurant owners to a POS-specific demo; keep no-POS owners as POS partner referral prospects.,"partner reply, referral path, or sent-message evidence",partner_referral,P1,POS-specific outreach,Square restaurant consultants,not_started,https://squarepos.consulting/,https://serviio.ai/pos/square-ai-phone-ordering/,https://serviio.ai/pos/square-ai-phone-ordering/?utm_source=square_pos_consultant&utm_medium=partner_referral&utm_campaign=free_search_marketing,Square POS phone order AI,"Partner reply, referral-page URL, submitted form confirmation, or sent-message URL.",AI phone ordering add-on for Square restaurants,"Hi [Name],

Serviio helps restaurants answer phone calls with AI, capture structured takeout order details, and evaluate how confirmed orders can move into the restaurant POS or kitchen workflow.

We are especially focused on Chinese restaurants and takeout-heavy operators already using Square. These restaurants often still receive high phone volume during lunch and dinner rush, even when online ordering is available.

Would you be open to a short partner/referral conversation? We can route POS-ready restaurants to an AI phone-ordering demo, and no-POS restaurants can be qualified separately for POS recommendations before they are a fit for Serviio.

Relevant page:
https://serviio.ai/pos/square-ai-phone-ordering/?utm_source=square_pos_consultant&utm_medium=partner_referral&utm_campaign=free_search_marketing

Thanks,
Serviio","Use POS-Specific Partner Outreach Copy and swap in the POS name plus the tracker UTM URL. After action, mark submitted with confirmation details.","npm run marketing:mark -- --target ""Square restaurant consultants"" --status ""submitted"" --date 2026-06-20 --note ""Submitted/contacted; add confirmation or next follow-up detail.""",Verified Square POS consulting target; use for restaurants with Square and high phone-order volume.
submit_or_contact,88,P0 POS-ready Chinese restaurant lead source,Route Toast restaurant owners to a POS-specific demo; keep no-POS owners as POS partner referral prospects.,"partner reply, referral path, or sent-message evidence",partner_referral,P1,POS-specific outreach,Toast restaurant consultants,not_started,https://bearheartconsulting.com/hospitality-technology-services/toast-pos-system-implementation/,https://serviio.ai/pos/toast-ai-phone-ordering/,https://serviio.ai/pos/toast-ai-phone-ordering/?utm_source=toast_pos_consultant&utm_medium=partner_referral&utm_campaign=free_search_marketing,Toast POS phone order AI,"Partner reply, referral-page URL, submitted form confirmation, or sent-message URL.",AI phone ordering add-on for Toast restaurants,"Hi [Name],

Serviio helps restaurants answer phone calls with AI, capture structured takeout order details, and evaluate how confirmed orders can move into the restaurant POS or kitchen workflow.

We are especially focused on Chinese restaurants and takeout-heavy operators already using Toast. These restaurants often still receive high phone volume during lunch and dinner rush, even when online ordering is available.

Would you be open to a short partner/referral conversation? We can route POS-ready restaurants to an AI phone-ordering demo, and no-POS restaurants can be qualified separately for POS recommendations before they are a fit for Serviio.

Relevant page:
https://serviio.ai/pos/toast-ai-phone-ordering/?utm_source=toast_pos_consultant&utm_medium=partner_referral&utm_campaign=free_search_marketing

Thanks,
Serviio","Use POS-Specific Partner Outreach Copy and swap in the POS name plus the tracker UTM URL. After action, mark submitted with confirmation details.","npm run marketing:mark -- --target ""Toast restaurant consultants"" --status ""submitted"" --date 2026-06-20 --note ""Submitted/contacted; add confirmation or next follow-up detail.""",Verified Toast POS implementation consulting target; use for restaurants that need AI phone answering connected to Toast workflows.
submit_or_contact,84,P1 partner/referral lead source,Partner can refer POS-ready restaurants; keep no-POS owners as POS partner referral prospects.,"partner reply, referral path, or sent-message evidence",partner_referral,P1,Chinese business association,US-China Restaurant Alliance,not_started,https://u-cra.com/application/,https://serviio.ai/zh/chinese-restaurant-ai-phone-ordering/,https://serviio.ai/zh/chinese-restaurant-ai-phone-ordering/?utm_source=us_china_restaurant_alliance&utm_medium=partner_referral&utm_campaign=free_search_marketing,中餐馆 AI 电话接单,"Moderator reply, approved post URL, event/resource listing URL, or sent-message URL.",Serviio - AI phone ordering for Chinese restaurants,"您好 [Name]，

Serviio 是面向美国中餐馆的 AI 电话接单系统，可以用中文和英文接听电话、确认外卖和自取订单、处理菜单问题和备注，并评估与餐厅 POS 或厨房流程的对接方式。

我们重点服务已经使用 39 Miles、Square、Toast、Clover、MenuSifu、Chowbus、Mealkeyway 或其他 POS 系统的中餐馆。如果贵会有会员资源、供应商推荐或餐饮科技资源页面，想请问是否可以考虑收录 Serviio，或安排一次简单介绍。","Use the Chinese Association Outreach Copy and include both English and Chinese landing URLs. After action, mark submitted with confirmation details.","npm run marketing:mark -- --target ""US-China Restaurant Alliance"" --status ""submitted"" --date 2026-06-20 --note ""Submitted/contacted; add confirmation or next follow-up detail.""","Evaluate membership, vendor listing, or partner outreach; use Chinese copy and record any fee before submitting."
submit_or_contact,84,P1 authority and discovery lead source,Route inbound directory leads to POS qualification before demo scheduling.,submitted listing or live backlink URL,directory_or_listing,P1,AI directory,AI phone-order directories,not_started,https://agentstide.com/,https://serviio.ai/chinese-restaurant-ai-order-taker/,https://serviio.ai/chinese-restaurant-ai-order-taker/?utm_source=ai_order_taker_directory&utm_medium=organic_listing&utm_campaign=free_search_marketing,Chinese restaurant AI order taker,Submission confirmation URL or live directory listing URL.,Serviio,"Serviio is an AI voice agent for restaurants that answers phone calls, captures order details, asks clarifying questions, and routes confirmed orders toward the restaurant POS or kitchen workflow.

It is especially relevant for Chinese restaurants and takeout-heavy restaurants that receive calls during lunch, dinner, weekends, and holidays. Serviio can handle English and Chinese callers, confirm modifiers such as spice level and substitutions, collect pickup time and customer contact details, and reduce missed-call pressure on staff.

Serviio prioritizes restaurants using POS systems such as 39 Miles, Square, Toast, Clover, MenuSifu, Chowbus, Mealkeyway, or another POS with a practical integration path.","Use the AI Directory Form Pack and choose voice AI, AI agent, automation, restaurant technology, or customer service AI. After action, mark submitted with confirmation details.","npm run marketing:mark -- --target ""AI phone-order directories"" --status ""submitted"" --date 2026-06-20 --note ""Submitted/contacted; add confirmation or next follow-up detail.""",Verified AI agent directory with submit-agent path and voice-agent category fit; emphasize bilingual restaurant phone orders and POS-ready handoff.
submit_or_contact,84,P1 authority and discovery lead source,Route inbound directory leads to POS qualification before demo scheduling.,submitted listing or live backlink URL,directory_or_listing,P1,AI directory,The Next AI,not_started,https://www.thenextai.com/submit-ai-tool/,https://serviio.ai/chinese-restaurant-pos-ai-phone-agent/,https://serviio.ai/chinese-restaurant-pos-ai-phone-agent/?utm_source=the_next_ai&utm_medium=organic_listing&utm_campaign=free_search_marketing,Chinese restaurant POS AI phone agent,Submission confirmation URL or live directory listing URL.,Serviio,"Serviio is an AI voice agent for restaurants that answers phone calls, captures order details, asks clarifying questions, and routes confirmed orders toward the restaurant POS or kitchen workflow.

It is especially relevant for Chinese restaurants and takeout-heavy restaurants that receive calls during lunch, dinner, weekends, and holidays. Serviio can handle English and Chinese callers, confirm modifiers such as spice level and substitutions, collect pickup time and customer contact details, and reduce missed-call pressure on staff.

Serviio prioritizes restaurants using POS systems such as 39 Miles, Square, Toast, Clover, MenuSifu, Chowbus, Mealkeyway, or another POS with a practical integration path.","Use the AI Directory Form Pack and choose voice AI, AI agent, automation, restaurant technology, or customer service AI. After action, mark submitted with confirmation details.","npm run marketing:mark -- --target ""The Next AI"" --status ""submitted"" --date 2026-06-20 --note ""Submitted/contacted; add confirmation or next follow-up detail.""",Free basic AI tool listing; emphasize POS-ready restaurant phone ordering and bilingual Chinese restaurant workflows.
submit_or_contact,92,P0 inbound restaurant-owner lead source,Ask every inbound owner which POS system they use; prioritize POS-ready Chinese restaurants and keep no-POS owners for POS partner referral.,verified profile plus POS-qualified inbound leads,business_profile,P0,Business profile,Google Business Profile,not_started,https://www.google.com/business/,https://serviio.ai/,https://serviio.ai/?utm_source=google_business_profile&utm_medium=organic_listing&utm_campaign=free_search_marketing,AI phone ordering for restaurants,"Published profile URL, verification screenshot, or dashboard confirmation.",Serviio,"Serviio helps restaurants reduce missed calls and capture takeout orders during lunch, dinner, weekends, and holidays. It is built for restaurants with phone-order volume, including Chinese restaurants using systems such as 39 Miles, Square, Toast, Clover, MenuSifu, Chowbus, and Mealkeyway.","Use business profile copy, service-area language, phone, logo, and clean homepage URL if UTM is rejected. After action, mark submitted with confirmation details.","npm run marketing:mark -- --target ""Google Business Profile"" --status ""submitted"" --date 2026-06-20 --note ""Submitted/contacted; add confirmation or next follow-up detail.""","Create service-area profile if eligible; add phone, website, logo, services, and posts."
submit_or_contact,74,P0 inbound restaurant-owner lead source,Ask every inbound owner which POS system they use; prioritize POS-ready Chinese restaurants and keep no-POS owners for POS partner referral.,verified profile plus POS-qualified inbound leads,business_profile,P0,Business profile,Bing Places for Business,not_started,https://www.bingplaces.com/,https://serviio.ai/,https://serviio.ai/?utm_source=bing_places&utm_medium=organic_listing&utm_campaign=free_search_marketing,Restaurant AI phone answering,"Published profile URL, verification screenshot, or dashboard confirmation.",Serviio,"Serviio helps restaurants reduce missed calls and capture takeout orders during lunch, dinner, weekends, and holidays. It is built for restaurants with phone-order volume, including Chinese restaurants using systems such as 39 Miles, Square, Toast, Clover, MenuSifu, Chowbus, and Mealkeyway.","Use business profile copy, service-area language, phone, logo, and clean homepage URL if UTM is rejected. After action, mark submitted with confirmation details.","npm run marketing:mark -- --target ""Bing Places for Business"" --status ""submitted"" --date 2026-06-20 --note ""Submitted/contacted; add confirmation or next follow-up detail.""",Mirror Google listing details; verify NAP and website.
submit_or_contact,74,P0 inbound restaurant-owner lead source,Ask every inbound owner which POS system they use; prioritize POS-ready Chinese restaurants and keep no-POS owners for POS partner referral.,verified profile plus POS-qualified inbound leads,business_profile,P0,Business profile,Apple Business Connect,not_started,https://businessconnect.apple.com/,https://serviio.ai/,https://serviio.ai/?utm_source=apple_business_connect&utm_medium=organic_listing&utm_campaign=free_search_marketing,AI phone ordering for restaurants,"Published profile URL, verification screenshot, or dashboard confirmation.",Serviio,"Serviio helps restaurants reduce missed calls and capture takeout orders during lunch, dinner, weekends, and holidays. It is built for restaurants with phone-order volume, including Chinese restaurants using systems such as 39 Miles, Square, Toast, Clover, MenuSifu, Chowbus, and Mealkeyway.","Use business profile copy, service-area language, phone, logo, and clean homepage URL if UTM is rejected. After action, mark submitted with confirmation details.","npm run marketing:mark -- --target ""Apple Business Connect"" --status ""submitted"" --date 2026-06-20 --note ""Submitted/contacted; add confirmation or next follow-up detail.""","Add logo, description, service area, phone, website, and action link."
submit_or_contact,60,P2 proof asset for conversion,Use proof in demos and profile/listing submissions to improve conversion from restaurant-owner traffic.,published proof URL,customer_proof,P2,Customer proof,Pilot restaurant testimonial,not_started,https://serviio.ai/customer-proof-request/,https://serviio.ai/customer-proof-request/,https://serviio.ai/customer-proof-request/?utm_source=customer_testimonial&utm_medium=customer_proof&utm_campaign=free_search_marketing,Chinese restaurant AI phone ordering testimonial,Published testimonial/case-study URL or written customer approval note.,Customer proof request for restaurant AI phone ordering,"Hi [Name],

Thank you for trying Serviio for restaurant phone ordering. If the pilot or demo was useful, could you share a short proof note we can use for restaurant-owner trust and follow-up conversations?

The most helpful version mentions your city, restaurant type, POS system, weekly phone-order volume, and the main phone-order pain: missed calls, bilingual calls, manual POS entry, after-hours calls, or menu questions.

You can choose whether the proof can be published, anonymized, or kept internal for sales conversations.

Proof form:
https://serviio.ai/customer-proof-request/?utm_source=customer_testimonial&utm_medium=customer_proof&utm_campaign=free_search_marketing

Thanks,
Serviio","Use the closest copy block in docs/free-search-submission-copy.md. After action, mark submitted with confirmation details.","npm run marketing:mark -- --target ""Pilot restaurant testimonial"" --status ""submitted"" --date 2026-06-20 --note ""Submitted/contacted; add confirmation or next follow-up detail.""","Use the customer proof request page to collect quote, city, restaurant type, POS, phone-order pain, and permission."
